R/H,TEMPERATURE,RESISTANCE,,,,,,
57.2,24.8,1290.25,,,,,,
57.2,24.8,1290.26,,,,,,
57.1,24.79,1290.25,,,,,,
57.1,24.8,1290.25,,,,,,
57.1,24.8,1290.26,,,,,,
57.1,24.81,1290.26,,,,,,
57,24.8,1290.25,,,,,,
57,24.8,1290.25,,,,,,
57,24.79,1290.25,,,,,,
57,24.79,1290.26,,,,,,
57,24.8,1290.26,,,,,,
57,24.81,1290.26,,,,,,
57,24.81,1290.25,,,,,,
57,24.81,1290.25,,,,,,
57.1,24.81,1290.25,,,,,,
57,24.81,1290.25,,,,,,
57.1,24.81,1290.25,,,,,,
57,24.81,1290.25,,,,,,
57,24.81,1290.26,,,,,,
57,24.82,1290.26,,,,,,
57.1,24.82,1290.26,,,,,,
57,24.82,1290.25,,,,,,
56.9,24.82,1290.25,,,,,,
56.9,24.82,1290.25,,,,,,
56.9,24.82,1290.25,,,,,,
56.8,24.82,1290.25,,,,,,
56.9,24.82,1290.25,,,,,,
57,24.83,1290.25,,,,,,
56.9,24.83,1290.26,,,,,,
56.9,24.83,1290.25,,,,,,
56.9,24.83,1290.26,,,,,,
56.9,24.83,1290.25,,,,,,
56.9,24.83,1290.25,,,,,,
56.9,24.83,1290.26,,,,,,
56.9,24.83,1290.25,,,,,,
56.9,24.84,1290.26,,,,,,
56.9,24.83,1290.26,,,,,,
56.9,24.84,1290.25,,,,,,
56.9,24.83,1290.26,,,,,,
56.8,24.83,1290.26,,,,,,
56.8,24.84,1290.25,,,,,,
56.9,24.84,1290.26,,,,,,
56.8,24.84,1290.26,,,,,,
56.8,24.85,1290.25,,,,,,
56.9,24.85,1290.26,,,,,,
56.8,24.85,1290.26,,,,,,
56.8,24.85,1290.26,,,,,,
56.8,24.85,1290.26,,,,,,
56.8,24.85,1290.26,,,,,,
56.8,24.85,1290.26,,,,,,
56.8,24.85,1290.26,,,,,,
56.7,24.85,1290.26,,,,,,
56.7,24.85,1290.26,,,,,,
56.7,24.85,1290.26,,,,,,
56.7,24.86,1290.26,,,,,,
56.8,24.86,1290.26,,,,,,
56.8,24.86,1290.26,,,,,,
56.8,24.86,1290.26,,,,,,
56.8,24.86,1290.26,,,,,,
56.8,24.87,1290.26,,,,,,
56.8,24.87,1290.26,,,,,,
56.8,24.88,1290.26,,,,,,
56.9,24.88,1290.26,,,,,,
56.9,24.88,1290.26,,,,,,
56.9,24.88,1290.26,,,,,,
56.9,24.88,1290.26,,,,,,
57,24.88,1290.26,,,,,,
56.9,24.87,1290.26,,,,,,
57,24.88,1290.26,,,,,,
57.1,24.87,1290.26,,,,,,
57.1,24.88,1290.26,,,,,,
57.1,24.88,1290.26,,,,,,
57.2,24.88,1290.26,,,,,,
57.2,24.88,1290.26,,,,,,
57.3,24.89,1290.26,,,,,,
57.4,24.89,1290.26,,,,,,
57.5,24.89,1290.26,,,,,,
57.5,24.89,1290.26,,,,,,
57.5,24.89,1290.26,,,,,,
57.5,24.89,1290.26,,,,,,
57.6,24.89,1290.26,,,,,,
57.7,24.89,1290.26,,,,,,
57.8,24.89,1290.26,,,,,,
57.8,24.89,1290.26,,,,,,
57.9,24.9,1290.26,,,,,,
57.9,24.9,1290.26,,,,,,
57.9,24.9,1290.26,,,,,,
57.9,24.9,1290.26,,,,,,
58,24.9,1290.26,,,,,,
58,24.91,1290.26,,,,,,
58.1,24.91,1290.26,,,,,,
58.2,24.92,1290.26,,,,,,
58.3,24.93,1290.26,,,,,,
58.2,24.93,1290.26,,,,,,
58.3,24.93,1290.26,,,,,,
58.2,24.93,1290.26,,,,,,
58.3,24.94,1290.26,,,,,,
